id,exam_score
630000,68.1
630001,73.0
630002,87.5
630003,54.8
630004,50.6
630005,68.1
630006,73.0
630007,54.8
630008,75.4
630009,96.3
630010,57.2
630011,34.2
630012,51.5
630013,60.7
630014,57.5
630015,67.5
630016,69.9
630017,76.4
630018,63.4
630019,73.1
630020,55.5
630021,62.4
630022,50.2
630023,50.4
630024,50.8
630025,55.9
630026,62.5
630027,42.4
630028,80.0
630029,99.6
630030,88.9
630031,55.3
630032,77.9
630033,57.8
630034,41.8
630035,52.9
630036,50.1
630037,62.8
630038,34.9
630039,46.2
630040,40.0
630041,78.6
630042,56.8
630043,68.8
630044,57.1
630045,89.6
630046,85.2
630047,50.4
630048,87.9
630049,99.3
630050,66.6
630051,32.0
630052,79.9
630053,75.3
630054,60.3
630055,44.2
630056,45.9
630057,70.2
630058,38.4
630059,73.8
630060,60.8
630061,34.0
630062,36.6
630063,39.0
630064,66.8
630065,45.3
630066,74.3
630067,47.5
630068,86.8
630069,88.6
630070,77.6
630071,62.8
630072,67.7
630073,71.7
630074,71.5
630075,76.4
630076,93.1
630077,36.7
630078,68.0
630079,50.2
630080,96.5
630081,83.3
630082,32.1
630083,52.5
630084,78.0
630085,92.8
630086,64.2
630087,66.5
630088,74.8
630089,75.4
630090,81.9
630091,75.2
630092,58.7
630093,49.9
630094,51.0
630095,75.0
630096,66.6
630097,67.2
630098,79.7
630099,80.8
630100,78.2
630101,32.8
630102,40.2
630103,63.6
630104,69.6
630105,41.7
630106,48.4
630107,73.2
630108,31.0
630109,98.9
630110,55.8
630111,76.8
630112,83.4
630113,72.6
630114,73.0
630115,57.4
630116,56.2
630117,74.9
630118,61.6
630119,89.0
630120,48.0
630121,60.0
630122,35.7
630123,47.9
630124,74.9
630125,59.6
630126,35.4
630127,57.0
630128,65.1
630129,83.8
630130,43.7
630131,57.3
630132,54.3
630133,75.4
630134,48.2
630135,97.0
630136,56.3
630137,40.6
630138,78.6
630139,55.3
630140,38.1
630141,50.1
630142,40.9
630143,51.5
630144,72.9
630145,76.4
630146,64.2
630147,70.9
630148,44.8
630149,72.6
630150,59.3
630151,72.9
630152,61.3
630153,36.7
630154,60.4
630155,30.7
630156,71.6
630157,53.6
630158,71.5
630159,54.7
630160,66.1
630161,76.5
630162,53.7
630163,62.2
630164,40.5
630165,67.7
630166,66.8
630167,58.4
630168,76.4
630169,82.9
630170,60.8
