id,exam_score
630000,71.5
630001,69.3
630002,87.9
630003,55.6
630004,47.6
630005,72.0
630006,72.8
630007,57.7
630008,78.0
630009,89.8
630010,58.9
630011,38.0
630012,53.8
630013,61.0
630014,61.6
630015,65.0
630016,73.5
630017,76.5
630018,63.1
630019,74.8
630020,54.3
630021,67.1
630022,44.2
630023,48.8
630024,53.4
630025,54.3
630026,60.9
630027,42.8
630028,80.3
630029,96.9
630030,92.7
630031,54.8
630032,79.8
630033,55.3
630034,45.7
630035,52.8
630036,51.4
630037,65.6
630038,31.0
630039,45.7
630040,36.6
630041,71.5
630042,61.1
630043,65.3
630044,56.7
630045,84.2
630046,86.6
630047,55.5
630048,81.2
630049,98.1
630050,72.1
630051,27.6
630052,82.9
630053,76.5
630054,64.5
630055,38.9
630056,42.8
630057,74.5
630058,39.9
630059,77.3
630060,60.6
630061,31.5
630062,42.0
630063,35.5
630064,67.4
630065,45.2
630066,71.0
630067,46.8
630068,87.4
630069,91.1
630070,77.6
630071,63.3
630072,71.7
630073,74.5
630074,71.6
630075,77.7
630076,93.6
630077,37.7
630078,70.0
630079,49.1
630080,91.4
630081,83.8
630082,34.3
630083,48.2
630084,78.9
630085,92.8
630086,70.1
630087,70.0
630088,74.7
630089,79.5
630090,77.9
630091,75.6
630092,62.9
630093,48.4
630094,48.6
630095,73.7
630096,71.0
630097,67.6
630098,81.1
630099,82.3
630100,74.3
630101,30.4
630102,36.2
630103,59.9
630104,69.3
630105,36.6
630106,47.2
630107,68.7
630108,32.7
630109,93.8
630110,53.9
630111,81.0
630112,88.4
630113,75.7
630114,68.9
630115,54.5
630116,59.1
630117,74.0
630118,59.7
630119,83.0
630120,44.9
630121,58.5
630122,39.0
630123,47.2
630124,79.3
630125,65.3
630126,35.0
630127,53.1
630128,65.9
630129,85.9
630130,45.3
630131,57.4
630132,51.8
630133,75.1
630134,45.6
630135,94.5
630136,57.0
630137,34.9
630138,75.1
630139,53.2
630140,35.0
630141,47.1
630142,39.4
630143,51.5
630144,74.9
630145,71.9
630146,66.7
630147,73.9
630148,42.8
630149,76.7
630150,54.9
630151,69.8
630152,63.3
630153,43.4
630154,61.8
630155,25.4
630156,71.5
630157,49.5
630158,76.4
630159,58.1
630160,63.1
630161,78.2
630162,54.0
630163,65.4
630164,36.2
630165,72.3
630166,63.9
630167,56.8
630168,72.8
630169,85.5
630170,58.3
630171,58.5
630172,47.7
630173,72.7
630174,44.2
630175,92.3
630176,90.4
630177,64.7
630178,80.3
630179,19.6
630180,53.3
630181,45.9
630182,55.4
630183,64.5
630184,37.5
630185,72.5
630186,89.6
630187,54.4
630188,69.9
630189,70.1
630190,42.0
630191,63.8
630192,85.2
630193,92.8
630194,38.2
630195,62.7
630196,72.0
630197,36.0
630198,88.0
630199,89.7
630200,53.0
630201,54.2
630202,55.7
630203,39.1
630204,54.5
630205,72.1
630206,64.3
630207,83.3
630208,75.1
630209,51.5
630210,56.2
630211,74.1
630212,82.3
630213,79.8
630214,48.5
630215,42.4
630216,82.9
630217,49.1
630218,77.3
630219,55.9
630220,68.9
630221,69.8
630222,35.4
630223,56.3
630224,73.0
630225,71.3
630226,51.9
630227,83.0
630228,38.3
630229,58.2
630230,62.2
630231,58.6
630232,85.4
630233,40.3
630234,80.8
630235,45.3
630236,57.9
630237,92.3
630238,51.8
630239,46.8
630240,56.1
630241,43.8
630242,74.8
630243,62.9
630244,60.3
630245,96.7
630246,42.9
630247,60.5
630248,83.6
630249,29.8
630250,36.9
630251,43.8
630252,69.4
630253,65.3
630254,55.1
630255,80.6
630256,69.3
630257,64.4
630258,75.8
630259,71.5
630260,56.3
630261,69.4
630262,35.0
630263,34.5
630264,66.2
630265,71.2
630266,80.7
630267,87.7
630268,90.7
630269,61.4
630270,32.7
630271,73.3
630272,37.4
630273,62.1
630274,51.1
630275,41.8
630276,41.2
630277,83.5
630278,61.1
630279,52.4
630280,80.7
630281,69.8
630282,35.0
630283,40.5
630284,51.3
630285,49.9
630286,53.0
630287,69.6
630288,75.9
630289,42.6
630290,76.9
630291,26.4
630292,50.5
630293,78.0
630294,88.1
630295,33.1
630296,62.7
630297,52.0
630298,47.5
630299,41.0
630300,59.8
630301,88.7
630302,46.5
630303,87.3
630304,69.8
630305,87.0
630306,86.2
630307,55.7
630308,53.8
630309,80.0
630310,57.9
630311,55.9
630312,45.3
630313,91.2
630314,62.9
630315,94.9
630316,30.8
630317,74.4
630318,90.7
630319,56.1
630320,68.8
630321,35.2
630322,69.0
630323,65.1
630324,58.7
630325,73.0
630326,72.6
630327,70.5
630328,75.4
630329,73.1
630330,45.2
630331,66.2
630332,61.8
630333,42.5
630334,56.8
630335,50.3
630336,42.3
630337,54.8
630338,45.0
630339,88.2
630340,34.0
630341,62.4
630342,83.7
630343,63.1
630344,84.9
630345,23.7
630346,45.9
630347,73.2
630348,76.9
630349,68.2
630350,64.7
630351,54.0
630352,77.0
630353,73.9
630354,49.9
630355,42.3
630356,66.9
630357,64.1
630358,63.0
630359,54.1
630360,75.0
630361,43.4
630362,72.7
630363,88.6
630364,68.9
630365,67.3
630366,65.3
630367,75.0
630368,51.0
630369,67.1
630370,54.0
630371,59.6
630372,60.4
630373,50.7
630374,84.2
630375,40.0
630376,47.0
630377,77.3
630378,54.6
630379,55.9
630380,63.9
630381,49.8
630382,85.3
630383,29.6
630384,70.0
630385,79.6
630386,90.9
630387,86.7
630388,41.3
630389,62.9
630390,73.5
630391,80.1
630392,39.4
630393,50.8
630394,65.0
630395,42.1
630396,50.1
630397,83.7
630398,71.5
630399,61.1
630400,68.6
630401,48.5
630402,32.3
630403,43.0
630404,81.1
630405,38.4
630406,68.4
630407,73.7
630408,84.4
630409,55.5
630410,63.6
630411,74.7
630412,87.5
630413,79.7
630414,44.0
630415,57.0
630416,74.4
630417,55.8
630418,60.4
630419,45.3
630420,66.0
630421,82.0
630422,53.0
630423,30.9
630424,45.7
630425,52.8
630426,66.6
630427,61.6
630428,85.5
